x,n,payoff_C,payoff_D,epi_size,C,eta,beta,gamma,theta,x0,n0,L,Dr,Dg,Game
0.99999,0.9796492647366793,0.9766836287755014,0.0,0.0016016016016016017,0.1,0.1,0.1,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796769301659766,0.977195030254895,0.0,0.0007507507507507507,0.1,0.1,0.1,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796831134324995,0.9773072000632953,0.0,0.00047547547547547545,0.1,0.1,0.1,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.979687510721605,0.9775003482184779,0.0,0.00017517517517517516,0.1,0.1,0.1,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796915900273198,0.9773931508602919,0.0,0.00032532532532532533,0.1,0.1,0.1,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796910449504477,0.9774308515902475,0.0,0.00025025025025025025,0.1,0.1,0.1,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796911412314476,0.977455422350609,0.0,0.00022522522522522523,0.1,0.1,0.1,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796917135517086,0.9774454259117662,0.0,0.0002002002002002002,0.1,0.1,0.1,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796918499830839,0.977431739226254,0.0,0.00025025025025025025,0.1,0.1,0.1,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796925793425202,0.9774570080641075,0.0,0.00022522522522522523,0.1,0.1,0.1,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9794581509946342,0.9728715945681271,0.0,0.008658658658658658,0.1,0.1,0.2,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796366706232884,0.9768697302378536,0.0,0.0013013013013013013,0.1,0.1,0.2,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796705394955818,0.9771305698509406,0.0,0.0007257257257257257,0.1,0.1,0.2,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796715177878568,0.9770061155390655,0.0,0.000925925925925926,0.1,0.1,0.2,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796806976823235,0.9773056066158098,0.0,0.00045045045045045046,0.1,0.1,0.2,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796844202757224,0.9772884577576536,0.0,0.0004004004004004004,0.1,0.1,0.2,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796856101302209,0.9773110234192357,0.0,0.00045045045045045046,0.1,0.1,0.2,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9796833720078748,0.9774596230712944,0.0,0.0002002002002002002,0.1,0.1,0.2,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
