x,n,payoff_C,payoff_D,epi_size,C,eta,beta,gamma,theta,x0,n0,L,Dr,Dg,Game
0.99999,0.981243900496878,0.9786973061326217,0.0,0.0011011011011011012,0.1,0.1,0.1,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9803295494035443,0.977930378641,0.0,0.0006506506506506507,0.1,0.1,0.1,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9801007563546189,0.9777174475450573,0.0,0.0005505505505505506,0.1,0.1,0.1,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9800062040634392,0.9776121144870525,0.0,0.0005755755755755755,0.1,0.1,0.1,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9799469971152853,0.9777374162243883,0.0,0.00022522522522522523,0.1,0.1,0.1,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9799135608303899,0.9776249512775849,0.0,0.0003503503503503503,0.1,0.1,0.1,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9798879675495263,0.9777234412984982,0.0,0.00012512512512512512,0.1,0.1,0.1,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9798678042211798,0.9776277600665408,0.0,0.0002002002002002002,0.1,0.1,0.1,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9798591727319638,0.977777919844254,0.0,2.5025025025025026e-05,0.1,0.1,0.1,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9798430780557653,0.9776728710133641,0.0,0.00015015015015015014,0.1,0.1,0.1,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9854896746351735,0.9796589549134946,0.0,0.008408408408408409,0.1,0.1,0.2,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9814047916616517,0.9788031855282988,0.0,0.0011261261261261261,0.1,0.1,0.2,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9807003235486177,0.9783520476399985,0.0,0.0006256256256256256,0.1,0.1,0.2,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9804109274591171,0.9782851906688272,0.0,0.0002002002002002002,0.1,0.1,0.2,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9802697849753925,0.9779538822443844,0.0,0.00047547547547547545,0.1,0.1,0.2,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.980181768307441,0.9778333889286313,0.0,0.00047547547547547545,0.1,0.1,0.2,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9801187909422248,0.9777511711631217,0.0,0.0005005005005005005,0.1,0.1,0.2,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9800823373394141,0.9777620782742692,0.0,0.0004004004004004004,0.1,0.1,0.2,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9800487967930961,0.9777133842218324,0.0,0.0004004004004004004,0.1,0.1,0.2,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9800238807462107,0.9776773994433248,0.0,0.00032532532532532533,0.1,0.1,0.2,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.995325399597987,0.9749050692580249,0.0,0.03938938938938939,0.1,0.1,0.30000000000000004,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9833039768896525,0.9795624894606602,0.0,0.003703703703703704,0.1,0.1,0.30000000000000004,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9815942929678687,0.9786265532514359,0.0,0.001951951951951952,0.1,0.1,0.30000000000000004,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9809727066223527,0.9783491448453294,0.0,0.001151151151151151,0.1,0.1,0.30000000000000004,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9806946488505158,0.978060372147174,0.0,0.001001001001001001,0.1,0.1,0.30000000000000004,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9805306188652481,0.9779008812343181,0.0,0.001051051051051051,0.1,0.1,0.30000000000000004,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9804107786942435,0.978036913440815,0.0,0.0005255255255255255,0.1,0.1,0.30000000000000004,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9803371051583402,0.9779418590157809,0.0,0.0005755755755755755,0.1,0.1,0.30000000000000004,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9802803061602604,0.977831292275631,0.0,0.0006006006006006006,0.1,0.1,0.30000000000000004,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9802418183877528,0.9778996035599037,0.0,0.00047547547547547545,0.1,0.1,0.30000000000000004,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9985596029684243,0.9166430227815641,0.0,0.16313813813813813,0.1,0.1,0.4,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9866905926276459,0.9805081905575849,0.0,0.009284284284284284,0.1,0.1,0.4,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9829304044243247,0.9791791348124266,0.0,0.0035535535535535533,0.1,0.1,0.4,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.981796311437155,0.9789534299150844,0.0,0.0017017017017017016,0.1,0.1,0.4,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9812435332346304,0.9785860599012653,0.0,0.0012262262262262263,0.1,0.1,0.4,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9809596605828005,0.9784133729953596,0.0,0.0009509509509509509,0.1,0.1,0.4,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9807764076185074,0.9781387863480797,0.0,0.001001001001001001,0.1,0.1,0.4,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9806537691889273,0.9781940505243335,0.0,0.0006506506506506507,0.1,0.1,0.4,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9805609409246705,0.9777403833317162,0.0,0.0012012012012012011,0.1,0.1,0.4,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9804867719099329,0.9779460817523997,0.0,0.0007757757757757758,0.1,0.1,0.4,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.4758548734536735,0.0005634661053926659,-0.44593016915364647,-0.4459689113956011,0.8453453453453453,0.1,0.1,0.5,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9920501298580775,0.9773354291303498,0.0,0.027177177177177176,0.1,0.1,0.5,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9849529210128838,0.9796909159045669,0.0,0.007082082082082082,0.1,0.1,0.5,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9829116167127343,0.9783367756952228,0.0,0.005005005005005005,0.1,0.1,0.5,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9820102356333977,0.9785379289742638,0.0,0.002702702702702703,0.1,0.1,0.5,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9815448856735187,0.9785230267075554,0.0,0.0017017017017017016,0.1,0.1,0.5,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.981254849364556,0.9780568469429342,0.0,0.0021271271271271273,0.1,0.1,0.5,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9810375908279111,0.9779703409348319,0.0,0.0018268268268268268,0.1,0.1,0.5,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9808944355558088,0.9783199911382092,0.0,0.0009009009009009009,0.1,0.1,0.5,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9808043908179213,0.9780864238217972,0.0,0.001026026026026026,0.1,0.1,0.5,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.47664063719533734,0.0006664680161834021,-0.4979792579172535,-0.497853283235455,0.9494244244244244,0.1,0.1,0.6,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9969759816551637,0.980373982272835,0.0,0.03218218218218218,0.1,0.1,0.6,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9881062480242716,0.9795372478540307,0.0,0.013988988988988989,0.1,0.1,0.6,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9844996062898999,0.9803440516985618,0.0,0.00452952952952953,0.1,0.1,0.6,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9830218599989307,0.9790926608150842,0.0,0.0038288288288288288,0.1,0.1,0.6,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9822379295959077,0.9787334013367895,0.0,0.002927927927927928,0.1,0.1,0.6,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9818334419079138,0.9785567712450249,0.0,0.0023523523523523524,0.1,0.1,0.6,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.981522907595018,0.9782946828821986,0.0,0.002102102102102102,0.1,0.1,0.6,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9813139163862632,0.9780954893877041,0.0,0.0022022022022022024,0.1,0.1,0.6,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9811780180557962,0.9782773607114903,0.0,0.0015515515515515516,0.1,0.1,0.6,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.47665945197531134,0.0006713260436921986,-0.5096259545760178,-0.5096837558373662,0.9732232232232232,0.1,0.1,0.7000000000000001,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9982710691448308,0.9456472099793083,0.0,0.10412912912912912,0.1,0.1,0.7000000000000001,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9923275414947581,0.9816605342346834,0.0,0.01896896896896897,0.1,0.1,0.7000000000000001,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9867131975327925,0.9802802403196574,0.0,0.009334334334334334,0.1,0.1,0.7000000000000001,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9843983637578978,0.9798498630088873,0.0,0.005305305305305305,0.1,0.1,0.7000000000000001,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9832644171695953,0.979212967921522,0.0,0.003978978978978979,0.1,0.1,0.7000000000000001,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9825781967642125,0.9782044343766033,0.0,0.0043793793793793796,0.1,0.1,0.7000000000000001,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9821387066029719,0.9786069838323441,0.0,0.0027527527527527527,0.1,0.1,0.7000000000000001,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9818439843599363,0.9787616280513749,0.0,0.001926926926926927,0.1,0.1,0.7000000000000001,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9816004804217828,0.9781673151805114,0.0,0.0024274274274274274,0.1,0.1,0.7000000000000001,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.47656382272808184,0.0007153962326307342,-0.5135373209400347,-0.5135131578673606,0.9810310310310311,0.1,0.1,0.8,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.47116354819782463,0.00033267490433054944,-0.37370566877643896,-0.3736712138029296,0.7012262262262262,0.1,0.1,0.8,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9968631989258532,0.9836276424072691,0.0,0.025025025025025027,0.1,0.1,0.8,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9897917785168655,0.9806826591588402,0.0,0.015565565565565565,0.1,0.1,0.8,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9862576048750044,0.9814024727116909,0.0,0.006081081081081081,0.1,0.1,0.8,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9844859834546045,0.9797431667114983,0.0,0.005705705705705706,0.1,0.1,0.8,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9835111287473841,0.9788750804190836,0.0,0.005155155155155155,0.1,0.1,0.8,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9829114308120824,0.9795576432514529,0.0,0.0026526526526526525,0.1,0.1,0.8,0.8,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9824632997453285,0.9787875591267243,0.0,0.003078078078078078,0.1,0.1,0.8,0.9,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9821612873187107,0.9780483218049226,0.0,0.0038288288288288288,0.1,0.1,0.8,1.0,0.5,0.5,0.5,200,-0.5,-0.5,H
0.4762154626021594,0.000732330373432062,-0.5175746217455666,-0.5175817359203606,0.9891391391391391,0.1,0.1,0.9,0.1,0.5,0.5,0.5,200,-0.5,-0.5,H
0.4762319379736706,0.0006252589759904255,-0.46239114183614793,-0.4624000794745841,0.8787537537537538,0.1,0.1,0.9,0.2,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9974731763651351,0.9681486528724191,0.0,0.057207207207207206,0.1,0.1,0.9,0.30000000000000004,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9937045368784436,0.9802976510521475,0.0,0.024474474474474473,0.1,0.1,0.9,0.4,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9887118476589106,0.978072728393304,0.0,0.018068068068068068,0.1,0.1,0.9,0.5,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9861257687436114,0.9798319137407348,0.0,0.008983983983983984,0.1,0.1,0.9,0.6,0.5,0.5,0.5,200,-0.5,-0.5,H
0.99999,0.9847726380277132,0.9771922090888534,0.0,0.011186186186186187,0.1,0.1,0.9,0.7000000000000001,0.5,0.5,0.5,200,-0.5,-0.5,H
